raw_label,canonical_label,rule,note
Internal medicine,internal medicine,case,unified case variant
internal medicine,internal medicine,case,
Surgery,surgery,case,
surgery,surgery,case,
Bacteriology,bacteriology,case,
bacteriology,bacteriology,case,
Pathology,pathology,case,
pathology,pathology,case,
Ophthalmology,ophthalmology,case,
ophthalmology,ophthalmology,case,
Psychiatry,psychiatry,case,
psychiatry,psychiatry,case,
Pediatrics,pediatrics,case,
pediatrics,pediatrics,case,
Hygiene,hygiene,case,
hygiene,hygiene,case,
Dermatology,dermatology,case,
dermatology,dermatology,case,
Urology,urology,case,
urology,urology,case,
Physiology,physiology,case,
physiology,physiology,case,
Immunology,immunology,case,
immunology,immunology,case,
Virology,virology,case,
virology,virology,case,
Biochemistry,biochemistry,case,
biochemistry,biochemistry,case,
Obstetrics and Gynecology,obstetrics and gynecology,case,
Obstetrics and gynecology,obstetrics and gynecology,case,
Medical Education,medical education,case,
medical education,medical education,case,
Social Activist,social activist,case,
social activist,social activist,case,
Doctor,doctor,case,
doctor,doctor,case,
orthopedics,orthopedic surgery,synonym,synonymous rendering of 整形外科
orthopedic surgery,orthopedic surgery,synonym,
public health science,public health,synonym,
public health,public health,synonym,
medical school education,medical education,synonym,
allergy,allergology,synonym,
allergology,allergology,synonym,
clinical laboratory,laboratory medicine,synonym,clinical-laboratory family merged
clinical laboratory medicine,laboratory medicine,synonym,
laboratory medicine,laboratory medicine,synonym,
internal medicine (cardiology,internal medicine,paren,"recovers a parsing error in which parenthetical detail was split on the comma; raw label ""Internal medicine (cardiology, hepatology)"""
internal medicine (gastroenterology,internal medicine,paren,"raw label ""Internal medicine (gastroenterology, hepatology)"""
hepatology),internal medicine,paren,trailing fragment of the two rows above
poet,,non-specialty,excluded from edge generation; retained as a node attribute
haiku poet,,non-specialty,
essayist,,non-specialty,
western painter,,non-specialty,
buddhist,,non-specialty,
mountaineer,,non-specialty,
organic farmer,,non-specialty,
businessman,,non-specialty,
social entrepreneur,,non-specialty,
politician,,non-specialty,
medical politician,,non-specialty,
social activist,,non-specialty,
nuclear free activist,,non-specialty,
medical critic,,non-specialty,
archeology,,non-specialty,
physical education,,non-specialty,
doctor,,non-specialty,occupational label rather than a medical specialty
army doctor,,non-specialty,
nurse,,non-specialty,
